"Date","WaterTemp","Salinity","Location"
2021-10-11 11:30:00,16.08,32.1,"FortPoint"
2021-10-11 11:36:00,16.06,32.11,"FortPoint"
2021-10-11 11:42:00,16.04,32.11,"FortPoint"
2021-10-11 11:48:00,15.99,32.12,"FortPoint"
2021-10-11 11:54:00,15.95,32.13,"FortPoint"
2021-10-12 12:00:00,15.94,32.14,"FortPoint"
2021-10-12 12:06:00,15.9,32.14,"FortPoint"
2021-10-12 12:12:00,15.87,32.15,"FortPoint"
2021-10-12 12:18:00,15.86,32.15,"FortPoint"
2021-10-12 12:24:00,15.87,32.15,"FortPoint"
2021-10-12 12:30:00,15.87,32.14,"FortPoint"
2021-10-12 12:36:00,15.88,32.14,"FortPoint"
2021-10-12 12:42:00,15.86,32.15,"FortPoint"
2021-10-12 12:48:00,15.85,32.15,"FortPoint"
2021-10-12 12:54:00,15.86,32.15,"FortPoint"
2021-10-12 01:00:00,15.81,32.16,"FortPoint"
2021-10-12 01:06:00,15.77,32.17,"FortPoint"
2021-10-12 01:12:00,15.73,32.18,"FortPoint"
2021-10-12 01:18:00,15.71,32.19,"FortPoint"
2021-10-12 01:24:00,15.7,32.19,"FortPoint"
2021-10-12 01:30:00,15.67,32.2,"FortPoint"
2021-10-12 01:36:00,15.64,32.21,"FortPoint"
2021-10-12 01:42:00,15.65,32.21,"FortPoint"
2021-10-12 01:48:00,15.66,32.2,"FortPoint"
2021-10-12 01:54:00,15.67,32.2,"FortPoint"
2021-10-12 02:00:00,15.67,32.2,"FortPoint"
2021-10-12 02:06:00,15.67,32.19,"FortPoint"
2021-10-12 02:12:00,15.67,32.19,"FortPoint"
2021-10-12 02:18:00,15.67,32.19,"FortPoint"
2021-10-12 02:24:00,15.67,32.19,"FortPoint"
2021-10-12 02:30:00,15.67,32.19,"FortPoint"
2021-10-12 02:36:00,15.65,32.19,"FortPoint"
2021-10-12 02:42:00,15.66,32.19,"FortPoint"
2021-10-12 02:48:00,15.65,32.19,"FortPoint"
2021-10-12 02:54:00,15.65,32.19,"FortPoint"
2021-10-12 03:00:00,15.65,32.19,"FortPoint"
2021-10-12 03:06:00,15.67,32.18,"FortPoint"
2021-10-12 03:12:00,15.68,32.18,"FortPoint"
2021-10-12 03:18:00,15.67,32.18,"FortPoint"
2021-10-12 03:24:00,15.67,32.17,"FortPoint"
2021-10-12 03:30:00,15.67,32.17,"FortPoint"
2021-10-12 03:36:00,15.64,32.17,"FortPoint"
2021-10-12 03:42:00,15.64,32.17,"FortPoint"
2021-10-12 03:48:00,15.65,32.17,"FortPoint"
2021-10-12 03:54:00,15.64,32.17,"FortPoint"
2021-10-12 04:00:00,15.63,32.17,"FortPoint"
2021-10-12 04:06:00,15.62,32.17,"FortPoint"
2021-10-12 04:12:00,15.59,32.17,"FortPoint"
2021-10-12 04:18:00,15.56,32.18,"FortPoint"
2021-10-12 04:24:00,15.52,32.18,"FortPoint"
2021-10-12 04:30:00,15.44,32.17,"FortPoint"
2021-10-12 04:36:00,15.44,32.18,"FortPoint"
2021-10-12 04:42:00,15.44,32.18,"FortPoint"
2021-10-12 04:48:00,15.44,32.18,"FortPoint"
2021-10-12 04:54:00,15.43,32.17,"FortPoint"
2021-10-12 05:00:00,15.43,32.16,"FortPoint"
2021-10-12 05:06:00,15.47,32.15,"FortPoint"
2021-10-12 05:12:00,15.47,32.15,"FortPoint"
2021-10-12 05:18:00,15.45,32.14,"FortPoint"
2021-10-12 05:24:00,15.38,32.15,"FortPoint"
2021-10-12 05:30:00,15.52,32.13,"FortPoint"
2021-10-12 05:36:00,15.56,32.14,"FortPoint"
2021-10-12 05:42:00,15.48,32.14,"FortPoint"
2021-10-12 05:48:00,15.54,32.13,"FortPoint"
2021-10-12 05:54:00,15.81,32.07,"FortPoint"
2021-10-12 06:00:00,16.14,31.99,"FortPoint"
2021-10-12 06:06:00,16.29,31.96,"FortPoint"
2021-10-12 06:12:00,16.36,31.95,"FortPoint"
2021-10-12 06:18:00,16.21,31.98,"FortPoint"
2021-10-12 06:24:00,16.5,31.93,"FortPoint"
2021-10-12 06:30:00,16.63,31.91,"FortPoint"
2021-10-12 06:36:00,16.6,31.91,"FortPoint"
2021-10-12 06:42:00,16.56,31.91,"FortPoint"
2021-10-12 06:48:00,16.55,31.91,"FortPoint"
2021-10-12 06:54:00,16.58,31.91,"FortPoint"
2021-10-12 07:00:00,16.55,31.91,"FortPoint"
2021-10-12 07:06:00,16.51,31.91,"FortPoint"
2021-10-12 07:12:00,16.49,31.91,"FortPoint"
2021-10-12 07:18:00,16.45,31.92,"FortPoint"
2021-10-12 07:24:00,16.35,31.92,"FortPoint"
2021-10-12 07:30:00,16.45,31.91,"FortPoint"
2021-10-12 07:36:00,16.51,31.91,"FortPoint"
2021-10-12 07:42:00,16.58,31.89,"FortPoint"
2021-10-12 07:48:00,16.6,31.89,"FortPoint"
2021-10-12 07:54:00,16.63,31.88,"FortPoint"
